@relation Water-quality

@attribute std_temp numeric
@attribute std_pH numeric
@attribute conduct numeric
@attribute o2 numeric
@attribute o2sat numeric
@attribute co2 numeric
@attribute hardness numeric
@attribute no2 numeric
@attribute no3 numeric
@attribute nh4 numeric
@attribute po4 numeric
@attribute cl numeric
@attribute sio2 numeric
@attribute kmno4 numeric
@attribute k2cr2o7 numeric
@attribute bod numeric
@attribute 25400 {0,1}
@attribute 29600 {0,1}
@attribute 30400 {0,1}
@attribute 33400 {0,1}
@attribute 17300 {0,1}
@attribute 19400 {0,1}
@attribute 34500 {0,1}
@attribute 38100 {0,1}
@attribute 49700 {0,1}
@attribute 50390 {0,1}
@attribute 55800 {0,1}
@attribute 57500 {0,1}
@attribute 59300 {0,1}
@attribute 37880 {0,1}

@data
2.103785,23.421773,3.047572,4.26668,4.277661,0.81583,3.822267,0.403047,3.834776,0.236263,0.820995,2.422204,4.435531,0.472956,0.549909,0.123928,1,0,0,1,1,1,1,1,1,0,1,0,1,1
1.090851,22.821215,2.954658,4.639497,4.090708,0.699283,3.19179,0.748516,4.11088,0.257357,0.273665,2.339394,4.192962,0.797269,0.626418,0.354079,0,0,1,1,1,0,1,1,1,0,1,0,1,1
1.305126,23.722053,3.679386,5.633674,5.110046,0.81583,3.743457,0.575782,2.239509,0.337518,0.18946,2.515366,4.782056,0.648626,0.301255,0.531119,0,0,0,1,1,1,0,0,1,1,0,0,1,0
4.908831,22.220657,5.723489,0.952754,1.264158,2.719434,3.822267,0.518203,0.092035,1.662276,2.484037,3.34347,4.400878,0.999964,1.118946,1.549098,0,0,0,1,0,1,1,1,0,0,0,0,0,0
1.012933,22.821215,1.765362,4.556648,3.974975,0.543887,1.930836,0.460625,0.33746,0.135007,0.18946,1.490587,4.678099,0.89186,0.645546,0.13278,0,0,0,1,1,0,0,1,1,0,0,0,1,1
2.921923,24.923169,1.941898,4.26668,4.696079,0,2.521908,0.115156,1.104415,0.046409,0.063153,0.279485,1.420756,0.229722,0.167364,0.13278,1,0,0,1,1,1,0,0,0,0,0,0,1,0
3.369951,25.223448,1.830401,4.432376,5.114498,0,2.12786,0.115156,0.85899,0.080161,0.35787,0.289836,1.282146,0.270261,0.296473,0.239004,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1.811592,24.322611,2.332136,4.308104,4.166379,0,3.11298,0.115156,1.380519,0.101255,0.063153,0.32089,2.28707,0.378365,0.215182,0.115076,0,1,0,1,0,1,0,0,1,0,0,0,0,0
3.272554,25.223448,2.081269,4.142408,4.731689,0,2.994766,0.057578,1.135094,0.04219,0.021051,0.372647,1.21284,0.364852,0.310818,0.433747,0,0,0,1,1,1,1,1,1,0,1,0,0,1
1.714195,23.722053,2.053394,4.639497,4.433455,0.42734,3.152385,0.172734,1.53391,0.067504,0.168409,0.445106,1.871239,0.324313,0.4734,0.13278,0,0,0,1,1,1,0,0,1,0,0,0,0,0
0.973974,24.022332,1.663157,5.053737,4.384491,0,2.876551,0.172734,1.227128,0.105474,0.063153,0.300188,1.940545,0.283774,0.248655,0.13278,1,1,0,1,1,1,0,0,1,0,0,0,0,0
2.103785,24.022332,2.83387,4.722345,4.73614,0.349641,3.546433,0.172734,2.454257,0.143445,0.105256,0.600375,1.905892,0.378365,0.468618,0.283264,0,0,1,1,1,1,1,1,0,0,1,0,0,0
1.090851,24.022332,3.140486,7.124941,6.280728,0,3.901076,0.287891,3.129177,0.160321,0.105256,0.983373,1.490061,0.324313,0.396891,0.407191,0,0,0,1,1,1,0,1,1,0,1,0,0,0
3.973815,25.523727,2.304262,5.095161,6.236215,0,2.837146,0.287891,1.71798,0.075942,0.084205,0.269134,1.490061,0.364852,0.272564,0.336375,1,0,0,1,1,1,0,1,0,0,0,0,0,0
1.363564,23.421773,3.64222,7.000669,6.39646,0,4.965006,0.172734,4.908513,0.088598,0.35787,0.87986,0.13861,0.378365,0.282127,0.274412,1,1,1,1,1,1,0,1,0,0,1,1,0,0
4.519241,24.022332,2.369301,4.888041,6.280728,0,3.03417,0.287891,1.902049,0.084379,0.126307,0.486511,1.316798,0.3108,0.358637,0.354079,1,1,0,1,1,0,0,1,1,0,0,0,0,1
3.77902,24.923169,1.88615,4.556648,5.47505,0,2.246074,0.115156,0.920346,0.084379,0.063153,0.23808,1.386103,0.364852,0.301255,0.398339,0,1,0,1,1,1,0,0,0,0,0,0,0,0
0.584385,24.62289,2.722374,5.59225,4.602603,0.271943,3.625243,0.345469,1.840692,0.097036,0.231563,0.496862,2.183113,0.283774,0.205618,0.300968,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1.012933,24.022332,1.653865,5.343706,4.660469,0,2.955361,0.172734,1.564589,0.088598,0.084205,0.32089,2.044502,0.324313,0.224746,0.159336,1,1,1,1,1,1,1,0,1,0,0,0,0,1
4.947789,24.923169,2.583003,4.556648,6.071518,0,3.270599,1.324298,1.748658,0.274233,0.35787,0.548619,1.732629,0.499982,0.363418,0.469155,0,1,1,1,1,1,1,1,1,0,1,0,0,1
0.584385,24.322611,2.954658,5.757947,4.740592,0.42734,3.704052,0.172734,2.208831,0.046409,0.252614,0.55897,2.113808,0.297287,0.215182,0.256708,0,0,0,1,1,1,0,0,0,0,0,0,1,0
1.012933,24.022332,1.75607,4.970889,4.335527,0,3.03417,0.230313,1.71798,0.130788,0.021051,0.393349,2.079155,0.3108,0.234309,0.159336,0,1,0,1,1,1,0,0,0,0,0,0,0,1
1.227208,24.022332,2.787413,5.136585,4.611505,0,3.704052,0.230313,1.902049,0.210949,0.35787,0.486511,2.321723,0.432417,0.387327,0.194744,0,1,0,1,0,1,1,0,1,1,1,1,0,0
0.798659,22.520936,3.233399,5.882219,4.985411,0,3.073575,0.115156,2.239509,0.084379,0.210512,0.590024,2.494986,0.58106,0.5786,0.389487,0,0,0,1,0,1,0,0,1,1,0,0,0,1
3.330992,24.322611,3.075446,4.432376,5.092241,0,3.585838,0.460625,1.349841,0.198292,0.421023,0.486511,2.494986,1.310764,0.832037,0.761271,0,1,0,1,0,1,0,0,0,1,0,0,1,1
0.74022,24.62289,2.490089,6.462156,5.434988,0,3.310004,0.172734,1.902049,0.147664,0.210512,0.538268,2.494986,0.297287,0.597728,0.451451,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1.733674,23.421773,2.29497,4.515224,4.326625,0.271943,2.915956,0.172734,2.024762,0.168759,0.252614,0.362295,3.430606,0.378365,0.750746,0.159336,1,0,0,1,1,1,0,0,1,1,1,0,0,0
1.14929,24.322611,2.378593,5.095161,4.526931,0,3.11298,0.172734,2.669004,0.109693,0.147358,0.393349,2.321723,0.554034,0.712491,0.194744,0,0,0,1,0,1,0,1,1,1,1,0,1,0
3.155677,24.923169,2.434341,4.100984,4.62931,0,2.955361,0.748516,1.840692,0.109693,0.273665,0.279485,2.910817,0.459443,0.196055,0.185892,1,1,0,1,0,0,0,1,1,0,0,0,1,0
0.993454,24.322611,2.815287,5.38513,4.687177,0,3.546433,0.403047,2.239509,0.12235,0.126307,0.807401,3.08408,0.459443,0.416018,0.2213,1,1,0,1,1,1,1,0,0,1,1,0,1,0
1.285646,24.322611,4.274034,5.550826,5.021021,0,5.043816,0.230313,5.153939,0.101255,0.105256,1.128292,3.08408,0.58106,0.573818,0.159336,1,1,0,1,1,1,1,0,1,1,1,0,1,0
3.545266,23.722053,5.017344,3.603895,4.233148,0,6.22596,0.287891,7.393448,0.067504,0.042102,1.055833,2.841512,0.540521,0.688582,0.30982,1,1,1,1,1,1,0,1,1,0,1,0,1,0
3.311513,25.223448,2.350719,5.053737,5.79554,0,3.19179,0.115156,0.674921,0.029533,0.021051,0.289836,0.519789,0.243235,0.153018,0.08852,1,0,0,1,0,1,0,0,1,0,0,1,0,1
2.318059,26.424565,1.904732,5.260858,5.408281,0,2.994766,0.115156,0.951024,0.029533,0.021051,0.196675,0.450484,0.324313,0.3156,0.2213,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1.636277,24.923169,2.768831,5.012313,4.740592,0,3.546433,0.115156,1.012381,0.101255,0.063153,0.258782,0.762357,0.229722,0.162582,0.115076,0,0,0,1,0,0,1,0,1,1,1,1,1,0
2.376497,25.223448,2.267096,5.675098,5.875663,0,3.270599,0.057578,0.797633,0.033752,0.126307,0.207026,0.381178,0.351339,0.320382,0.106224,1,1,0,1,0,1,0,0,1,0,1,1,0,0
2.882964,25.223448,2.592294,4.556648,4.994314,0,3.388814,0.115156,0.981703,0.029533,0.021051,0.403701,0.589094,0.3108,0.243873,0.106224,1,1,1,1,0,1,0,0,1,0,0,1,0,0
2.25962,23.121494,2.341427,3.396774,3.467531,0,3.388814,0.115156,0.951024,0.037971,0.147358,0.269134,0.277221,0.243235,0.430364,0.239004,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1.753154,25.223448,2.982532,4.308104,4.13522,0,3.782862,0.172734,1.165772,0.189854,0.063153,0.310539,0.93562,0.337826,0.521218,0.17704,0,0,0,1,1,1,0,0,0,0,0,0,0,1
3.42839,25.223448,2.09056,5.882219,6.828233,0,3.073575,0.287891,0.613564,0.037971,0.18946,0.300188,0.277221,0.499982,0.569037,0.424895,0,1,1,1,0,1,0,1,1,0,0,0,0,1
3.233595,24.62289,2.982532,4.183832,4.758397,0,3.743457,0.172734,1.779336,0.029533,0.021051,0.310539,1.07423,0.378365,0.253436,0.185892,1,0,1,1,1,1,0,1,1,0,0,0,0,0
2.727128,24.022332,2.83387,4.929465,5.310353,0,4.019291,0.172734,2.178153,0.046409,0.168409,0.382998,0.797009,0.297287,0.502091,0.212448,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1.753154,24.62289,3.028989,4.349528,4.175282,0,4.058696,0.172734,2.454257,0.097036,0.063153,0.414052,0.93562,0.216209,0.401673,0.141632,1,0,0,1,1,1,1,1,1,1,1,1,0,0
1.480441,24.62289,2.973241,4.888041,4.535834,0,4.25572,0.172734,2.699682,0.04219,0.105256,0.445106,1.004925,0.202695,0.186491,0.185892,1,0,0,1,1,1,0,0,0,1,0,0,0,0
2.181702,25.523727,2.517963,5.675098,5.742125,0,3.664647,0.230313,1.288485,0.071723,0.063153,0.248431,0.311873,1.391842,0.755528,0.424895,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2.434936,23.722053,2.740956,4.018135,4.188635,0,4.137505,0.172734,2.300866,0.046409,0.463126,0.424403,0.485136,0.297287,0.339509,0.123928,1,0,0,1,1,1,1,1,1,0,1,1,0,0
1.986908,25.824007,2.926784,5.053737,4.994314,0,4.058696,0.230313,2.484935,0.101255,0.063153,0.414052,0.831662,0.378365,0.310818,0.168188,1,0,1,1,1,1,1,0,1,1,1,1,0,0
1.811592,24.322611,3.502849,3.893863,3.765766,0,4.570958,0.230313,2.853073,0.160321,0.18946,0.548619,0.970272,0.432417,0.808128,0.230152,0,1,0,1,0,1,1,1,1,1,1,1,0,0
1.5194,23.121494,3.121903,3.976711,3.707899,0.271943,4.373934,0.287891,2.178153,0.130788,0.210512,0.631429,0.970272,0.432417,0.530782,0.354079,1,0,0,1,1,1,0,1,1,1,0,0,0,0
1.986908,22.821215,2.954658,2.899685,2.866611,0.543887,4.295124,0.403047,1.687301,0.198292,0.378921,0.372647,0.346526,1.702642,0.659891,0.504563,1,0,0,1,0,1,1,1,1,0,0,0,0,0
3.350472,23.121494,3.512141,3.189654,3.672289,0.699283,4.334529,0.575782,2.116796,0.189854,0.35787,0.496862,0.866315,0.391878,0.196055,0.292116,1,0,1,1,0,1,1,1,1,1,0,0,1,0
3.0388,23.421773,3.447101,3.479622,3.877047,0.699283,4.689172,1.266719,1.994083,0.156102,0.315767,0.931617,0.207915,0.432417,0.549909,0.407191,1,1,1,1,0,1,1,1,1,0,0,0,0,1
1.811592,24.322611,3.567889,3.976711,3.845888,0,4.689172,0.518203,2.761039,0.16454,0.273665,0.610727,0.866315,0.432417,0.798564,0.274412,1,1,1,1,0,1,1,1,1,0,1,0,0,0
3.662143,22.821215,3.242691,3.686743,4.38004,0,4.373934,0.863672,1.564589,0.126569,1.157814,0.507214,1.143535,1.283738,0.9468,0.566527,1,0,1,1,0,1,0,1,1,0,0,0,0,1
4.324446,24.022332,3.828048,3.35535,4.237599,0,4.728577,0.345469,2.331544,0.151883,0.842046,0.973022,0.727704,0.864834,0.588164,0.203596,0,1,1,1,0,1,0,1,1,0,1,0,0,1
3.623184,24.322611,3.112612,3.396774,4.019488,0,4.137505,0.63336,1.963405,0.160321,0.484177,0.455457,0.797009,0.486469,0.4734,0.230152,1,0,1,1,1,1,0,1,1,1,1,0,0,0
1.792113,24.62289,3.855922,4.059559,3.917109,0,4.728577,0.63336,2.454257,0.270014,0.715739,0.683186,1.420756,0.459443,0.349073,0.194744,0,0,1,1,1,1,0,1,1,1,1,0,0,0
3.389431,24.022332,3.605055,3.893863,4.500224,0,4.807387,1.151563,2.822395,0.075942,0.463126,1.169697,0.277221,0.554034,0.784219,0.300968,0,1,1,1,0,1,1,1,1,0,0,0,0,0
1.850551,24.322611,3.409936,4.059559,3.943816,0,4.531553,0.460625,2.669004,0.139226,0.273665,0.569321,0.693052,0.527008,0.784219,0.336375,0,1,0,1,0,1,0,0,1,1,1,0,0,1
2.921923,22.821215,3.744425,3.521046,3.877047,0,5.201435,0.345469,1.135094,0.101255,0.063153,1.03513,1.247493,1.594538,1.530182,0.840939,0,0,1,1,0,1,1,1,1,0,1,0,0,0
2.142743,23.421773,3.140486,3.603895,3.627777,0.699283,4.531553,0.575782,1.840692,0.101255,1.242019,0.641781,0.623746,0.945912,0.8942,0.424895,0,0,0,1,0,1,1,1,1,0,1,0,0,1
4.480282,24.62289,3.958127,3.976711,5.092241,0,4.767982,0.460625,1.71798,0.181416,0.989405,1.03513,0.866315,0.675652,0.645546,0.230152,1,1,1,1,0,1,0,1,1,0,1,0,0,0
4.012774,24.62289,3.605055,3.811015,4.682725,0,4.373934,0.518203,2.331544,0.177197,0.315767,0.538268,1.07423,0.405391,0.521218,0.194744,1,1,0,1,0,0,1,0,1,1,1,0,1,0
1.947949,24.62289,3.809465,4.556648,4.482419,0,4.689172,0.518203,2.515613,0.202511,1.26307,0.621078,1.455408,0.418904,0.200836,0.115076,0,0,0,1,1,1,0,0,1,1,1,0,0,1
3.525787,24.923169,3.586472,4.639497,5.439439,0,4.728577,0.460625,2.270187,0.063285,1.115712,1.159346,0.242568,0.702678,0.588164,0.30982,1,1,0,1,0,1,0,0,1,0,1,0,0,0
2.298579,23.421773,3.484267,4.26668,4.375588,0.42734,5.004411,0.460625,2.178153,0.050628,0.35787,0.79705,1.108883,1.06753,0.425582,0.416043,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4.947789,23.421773,3.91167,3.272502,4.362235,0.42734,4.570958,0.518203,1.932727,0.109693,0.378921,0.672834,1.108883,0.608086,0.478182,0.26556,1,0,0,1,0,1,1,1,1,0,0,0,0,0
1.402523,24.322611,3.177651,6.255035,5.742125,0,4.886197,0.460625,2.73036,0.265795,1.326223,1.03513,0.797009,0.743217,1.114164,0.451451,0,1,0,1,0,1,1,0,1,0,0,0,0,0
4.363405,22.520936,3.735134,3.35535,4.255404,0.543887,4.886197,0.345469,1.902049,0.113912,0.799944,0.931617,1.282146,1.797233,0.860728,0.433747,1,0,0,1,0,1,1,1,1,0,0,0,0,1
1.947949,24.62289,3.37277,4.515224,4.442357,0.42734,4.492148,0.345469,2.239509,0.046409,0.231563,0.621078,0.970272,0.540521,0.215182,0.17704,0,1,0,1,1,1,0,0,0,0,0,0,0,1
4.343925,24.022332,3.651511,3.769591,4.771751,0,4.846792,1.439454,1.53391,0.092817,0.589433,0.610727,1.247493,1.283738,1.262401,0.460303,1,0,1,1,0,1,1,0,1,0,0,0,0,1
4.246528,24.62289,3.735134,4.598072,5.768833,0,4.846792,0.230313,2.05544,0.071723,1.115712,1.086886,0.277221,0.567547,0.784219,0.26556,1,1,1,1,1,1,1,0,1,0,1,0,0,1
2.2791,24.62289,3.781591,4.4738,4.580346,0,5.043816,0.460625,2.73036,0.139226,0.252614,0.786699,0.554441,0.554034,1.018528,0.247856,1,1,0,1,1,1,0,0,1,1,1,0,0,0
4.304966,23.421773,3.632929,2.899685,3.658936,0,4.17691,2.130392,0.368138,0.755196,0.231563,0.71424,0.762357,0.608086,0.774655,0.619639,1,0,1,1,0,0,0,0,1,0,0,0,1,1
3.01932,25.223448,2.648043,4.846617,5.390476,0,4.058696,1.266719,2.05544,0.092817,0.673637,0.310539,1.420756,0.256748,0.425582,0.168188,1,0,1,1,1,1,0,0,0,0,1,0,1,1
3.097238,23.121494,3.279856,3.272502,3.672289,0.699283,4.17691,0.172734,1.748658,0.177197,0.021051,0.579673,1.836587,5.824117,2.44351,1.124202,1,0,0,1,0,1,1,1,1,0,1,0,1,1
1.850551,24.62289,3.242691,4.763769,4.62931,0,3.979886,0.115156,2.699682,0.16454,0.105256,0.641781,1.801934,0.297287,0.310818,0.141632,1,0,0,1,1,0,1,1,1,1,1,1,0,0
2.610251,23.421773,2.313553,3.562471,3.788022,1.359717,3.822267,0.345469,2.116796,0.831138,0.442074,0.95232,1.178188,1.108069,1.554092,1.239278,0,1,0,1,0,1,0,0,0,0,0,0,0,1
2.454415,22.520936,3.37277,3.603895,3.765766,1.63166,4.334529,3.512267,2.331544,1.286787,1.031507,1.097238,1.420756,1.689129,1.095037,1.38091,0,0,0,1,0,1,0,0,0,0,0,0,1,1
3.194636,24.923169,7.442394,0.787057,0.890252,0,7.762748,0.172734,0.460173,3.514405,1.515684,2.008152,4.366225,1.770207,1.97011,1.24813,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0.584385,25.223448,5.454039,4.846617,3.988329,0,7.802153,0.403047,1.19645,1.105371,1.641991,1.614803,2.841512,1.135095,1.683201,1.310094,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1.597318,24.022332,5.66774,2.568293,2.417034,0.699283,6.738223,0.345469,1.441876,0.73832,1.010456,1.573398,3.153385,0.702678,1.267182,0.964866,0,0,0,1,1,1,0,0,0,0,0,0,0,1
4.227048,25.223448,2.462215,5.633674,7.055247,0,3.388814,0.057578,0.153391,0.063285,0.021051,0.362295,0.277221,0.351339,0.372982,0.256708,1,0,1,1,0,1,0,0,1,0,0,0,0,0
3.214115,22.821215,5.082384,1.408419,1.598002,2.719434,4.452744,0.057578,0.061356,5.379192,1.641991,2.587825,2.910817,1.662103,1.716673,1.46943,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1.227208,22.520936,3.521432,1.449843,1.299768,2.719434,4.25572,0.575782,0.429495,2.050421,0.273665,1.387074,1.07423,1.824259,1.458455,2.221848,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0.701262,23.121494,3.818756,3.852439,3.222712,1.087773,4.886197,0.403047,1.319163,0.641284,0.526279,0.776347,1.004925,0.797269,1.295873,0.469155,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0.896056,23.722053,3.317022,4.059559,3.485336,0.271943,5.122625,0.115156,1.165772,0.198292,0.168409,0.548619,0.727704,0.229722,0.521218,0.17704,1,0,1,1,0,0,0,0,1,0,0,0,0,1
2.921923,21.920378,3.64222,1.035602,1.139523,1.24317,5.201435,4.663831,1.902049,0.210949,0.35787,1.459533,1.108883,1.162121,0.937237,0.858643,0,0,0,1,1,1,0,1,1,0,0,0,0,0
3.895897,23.121494,4.376239,2.609717,3.169297,0.971226,5.359054,4.663831,0.981703,0.907079,0.884149,1.252507,1.108883,1.324277,1.941419,2.257256,1,0,0,1,0,1,0,1,1,0,0,0,0,1
2.181702,22.520936,3.419227,2.526869,2.555023,0.81583,4.886197,0.518203,1.840692,0.291109,0.18946,0.641781,0.623746,1.445894,1.114164,1.752693,0,0,0,1,0,0,0,1,1,0,1,0,0,0
1.947949,24.022332,4.478444,3.396774,3.342896,0.42734,5.24084,0.403047,1.871371,0.759415,0.715739,0.683186,1.420756,0.743217,0.870291,0.840939,0,0,1,1,1,1,1,1,0,1,1,0,0,1
0.896056,23.421773,3.697968,2.526869,2.172215,1.087773,5.319649,0.230313,0.613564,0.544248,0.778893,1.097238,0.797009,1.108069,1.209801,2.168737,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2.006387,22.821215,3.028989,4.225256,4.184184,0.699283,4.610363,0.115156,2.178153,0.037971,0.126307,0.300188,0.797009,0.270261,0.349073,0.08852,1,0,0,1,1,1,1,0,1,0,0,1,0,0
3.194636,24.022332,6.280971,3.14823,3.56991,0,5.437864,4.088049,18.805741,1.23194,0.842046,2.15307,3.395953,1.905337,2.410037,0.920607,1,0,0,1,0,1,1,1,0,0,0,0,0,1
2.785567,25.523727,2.880327,4.888041,5.30145,0,4.019291,0.287891,2.178153,0.130788,0.063153,0.393349,1.732629,0.337826,0.334727,0.150484,1,1,1,1,1,1,0,1,1,0,1,0,0,1
3.077759,25.223448,2.6945,4.515224,5.05218,0,4.570958,0.518203,1.227128,0.223606,0.126307,0.672834,1.21284,0.283774,0.377764,0.283264,1,0,1,1,0,1,0,0,1,0,1,1,1,0
4.675077,25.223448,3.716551,6.50358,8.470747,0,4.373934,0.172734,2.669004,0.029533,0.063153,1.055833,0.900967,0.378365,0.459055,0.327523,1,1,1,1,1,1,0,0,0,0,1,0,0,0
3.545266,23.722053,2.917493,4.556648,5.350414,0,3.822267,0.690938,2.546291,0.080161,0.126307,0.445106,1.559366,0.3108,0.693364,0.256708,1,0,0,1,0,1,0,0,1,0,1,1,1,1
4.012774,24.322611,4.543484,3.438198,4.224246,0,5.004411,0.230313,2.454257,0.156102,0.18946,1.397425,0.519789,0.75673,0.932455,0.407191,1,1,1,1,0,1,0,1,0,0,0,0,0,0
1.967428,23.421773,4.041749,2.941109,2.89777,0.81583,4.0981,1.036407,2.607648,0.459868,0.526279,1.531992,0.554441,1.459407,1.07591,0.876347,0,1,0,1,0,1,1,1,0,0,1,0,1,0
3.77902,24.923169,3.224108,4.432376,5.323707,0,3.979886,0.863672,2.362222,0.135007,0.336819,0.621078,1.732629,0.486469,0.961146,0.451451,0,0,0,1,1,1,1,1,1,0,1,0,0,0
3.389431,24.022332,4.097498,3.35535,3.881499,0,5.398459,1.497032,3.159855,0.291109,0.505228,1.242156,1.732629,0.486469,0.664673,0.486859,1,0,1,1,0,1,0,1,1,0,1,0,1,0
3.311513,24.022332,3.382061,3.645319,4.179733,0,4.373934,0.63336,2.3929,0.029533,0.168409,1.045481,1.143535,0.513495,0.358637,0.433747,0,1,1,1,0,1,0,0,1,0,0,0,1,0
3.584225,24.322611,4.208994,3.35535,3.95717,0,5.24084,1.036407,2.73036,0.135007,0.336819,1.107589,1.697977,0.405391,0.564255,0.398339,1,0,0,1,0,1,1,1,1,0,1,0,1,0
1.090851,24.022332,3.010406,4.4738,3.943816,0,4.058696,0.460625,2.086118,0.109693,0.126307,0.662483,1.316798,0.44593,0.645546,0.371783,0,0,0,1,0,1,0,1,1,0,1,1,0,0
4.480282,24.022332,3.91167,2.526869,3.236066,0,4.531553,2.648595,0.736277,0.194073,0.694688,0.900563,0.485136,0.635112,0.497309,0.486859,1,0,0,1,0,1,0,1,0,1,1,0,1,0
3.584225,24.322611,3.484267,3.769591,4.442357,0,4.413339,0.748516,2.362222,0.075942,0.18946,1.045481,1.247493,0.378365,0.148236,0.247856,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1.928469,25.223448,3.493558,5.343706,5.243584,0,4.17691,0.806094,2.239509,0.379708,0.252614,0.745294,2.252418,0.635112,0.430364,0.26556,0,1,0,1,1,1,0,1,0,1,1,0,1,0
4.791954,25.223448,4.915139,4.763769,6.267374,0,5.16203,5.412347,1.441876,0.632846,0.799944,1.27321,3.257343,0.702678,0.951582,0.690455,1,1,1,1,1,1,0,1,0,1,1,0,0,1
3.01932,25.223448,3.809465,4.680921,5.207974,0,4.373934,1.266719,2.362222,0.421897,0.35787,0.828104,2.980122,0.432417,0.726837,0.451451,1,0,1,1,1,1,1,0,0,0,0,0,0,1
2.532333,25.523727,7.256566,5.053737,5.328158,0,6.383579,2.072814,0.613564,2.109487,0.54733,5.951997,2.598944,1.662103,2.524801,1.15961,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4.889351,25.523727,7.247275,5.053737,6.699146,0,6.895842,4.721409,1.073737,3.037661,1.936707,2.339394,3.915742,1.06753,1.319782,1.035682,1,1,1,1,0,1,0,0,0,1,0,0,1,1
3.817979,24.62289,4.92443,4.349528,5.243584,0,4.767982,0.863672,1.472554,0.734101,0.968353,1.687262,2.702901,0.864834,1.114164,0.601935,1,0,1,1,0,1,0,0,0,0,0,0,0,1
2.318059,24.62289,3.251982,4.846617,4.985411,0,4.295124,0.230313,4.172236,0.097036,0.042102,0.517565,1.490061,0.540521,0.698146,0.230152,0,0,0,1,1,1,0,0,1,1,1,0,0,0
